Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M12.7,Protein synthesis,35,"1766446, 1694587, 2262288, 1762725, 1744347, 1685538, 2130180, 1675460, 1680208, 1660832, 1657612, 1654445, 1801795, 1676765, 1683447, 1655710, 1808837, 1789809, 1772888, 1652955, 1769277, 1716014, 1700674, 1814011, 1691053, 1653469, 2413278, 1713369, 1655422, 2319994, 2218277, 2166831, 1810577, 1707810, 1685357, 2368576","C6ORF48, EEF1B2, EEF1G, EIF3EIP, LOC127295, LOC158345, LOC283345, LOC283412, LOC284821, LOC285053, LOC285900, LOC347292, LOC347544, LOC390354, LOC440737, LOC642989, LOC644029, LOC644511, LOC645688, LOC648622, LOC651436, LOC653232, LOC728481, LOC731985, LOC91561, RPL12, RPL13, RPL13A, RPL17, RPL3, RPS2, RPS4X, RPS4X, RPS5, RTN2, UBA52"
M12.8,B-cell,26,"1775235, 1661646, 1668277, 1690907, 1782704, 1723004, 1734878, 1785439, 2366212, 1761260, 2337928, 1782551, 1778681, 1664063, 1662451, 1791329, 1691071, 1728107, 1659075, 1700428, 1898723, 1794927, 2401714, 1669497, 1788841, 2130525, 1669881, 1700147","AFF3, BANK1, BLK, CCR6, CD19, CD72, CD79A, CD79B, CD79B, COBLL1, CXCR5, E2F5, EBF1, FAM129C, FCER2, FCRL2, FCRLA, GNG7, HLA-DOA, HLA-DOB, HS.91389, LOC90925, MS4A1, OSBPL10, TCL1A, TSPAN13, TSPAN13, VPREB3"
M12.9,TBD,42,"1684293, 1662426, 2225887, 1727813, 1809477, 1691942, 1779401, 1660837, 1714082, 2125374, 2359742, 2308582, 1803846, 1728083, 1718706, 1719985, 1769191, 1815158, 1706273, 1764850, 1735432, 1793371, 2278433, 2198893, 1657968, 1724825, 2312296, 1726565, 1798620, 1711606, 1800871, 1791840, 1749009, 1802603, 1765204, 2327276, 1708147, 2372639, 1720241, 1780769, 2320853, 1701331, 1790797, 1752303","ANP32B, AP2S1, ATP5EP2, BRP44, CARHSP1, CCNI, CHP, CLCN3, CMAS, CMAS, CTSB, CYB5R3, EIF1, EIF4EBP2, ERAL1, FEM1A, GNAS, GPS2, HCCA2, HPCAL1, ISCU, KIAA0430, LOC285074, LOC407835, MAP2K2, PCBP2, PCBP2, PIK3R2, PQLC1, PRDX5, RAB6A, RALBP1, REXO2, RFNG, ST13, STAU1, TBPL1, TRAPPC5, TRIP12, TUBB2C, UBE2D3, UBE2M, VPS28, YY1AP1"
M13.1,Inflammation,137,"1802096, 1738921, 1714197, 1703538, 1689908, 1709820, 1659463, 2382657, 1670130, 1795826, 1703123, 1750401, 2283388, 1652631, 1765858, 1768870, 2326512, 1693552, 1800540, 1748883, 1671893, 2414027, 1663142, 2403228, 2399363, 1709204, 1714759, 1720708, 1736190, 1807455, 1669502, 1784737, 1651832, 2378100, 1693650, 2368318, 1683658, 1726222, 1683146, 2134538, 2173835, 2347949, 1343295, 1724250, 1811702, 1796179, 2219712, 1660436, 1675939, 2230892, 1676515, 1803819, 1732967, 1752351, 2279961, 2243687, 1716983, 1800078, 1747771, 1670272, 2345353, 1688373, 1660021, 2235283, 1667260, 2143795, 1746408, 1667825, 1721035, 1657977, 1803277, 1738523, 1758963, 1660629, 1735180, 1719695, 1815479, 1729161, 1800897, 1785852, 1742456, 1664094, 1702396, 1807529, 1731224, 1740010, 1679268, 1770811, 1699496, 1715273, 1684391, 1657810, 1659936, 1738784, 1769091, 2367215, 1801105, 1701134, 2222074, 1734543, 2383611, 1698766, 2379718, 2115434, 1785356, 1659206, 2352303, 1666444, 1715173, 1687315, 1713636, 1724422, 1658437, 1655549, 2345898, 2085862, 2076463, 1758938, 2053103, 1800425, 1781468, 1714401, 2401978, 1684034, 1753712, 2059549, 1779886, 1744795, 1711994, 1711566, 1736597, 1696643, 2211065, 1764788, 2066858, 2082314, 1699570, 2329679, 1691572, 2038776, 1680314, 1725862, 2043265, 1800912, 1720829, 1771627, 1701875","ABTB1, ACAA1, ACSS2, AIF1, ANKRD13A, AOAH, APAF1, ARHGAP9, ARID3A, ATP6V0D1, AXUD1, C17ORF62, C20ORF24, C9ORF19, CAB39, CAPZA2, CASP1, CD300A, CD55, CDKN2D, CHMP2A, CKLF, CLEC12A, CLEC12A, CLEC4A, CLEC4A, CNIH4, CSNK1D, CYP4F3, DHRS7, E2F3, EDG6, EHD1, FBXL5, FES, FGR, FKBP1A, FLOT2, FTH1, FTHL11, FTHL3, G6PD, GAPDH, GRN, GRN, HIST1H2BK, HMGB2, HSPA1B, IFNGR1, IL10RB, IMPDH1, IQGAP1, KIAA1949, LAMP2, LAMP2, LAMP2, LILRA2, LMO2, LOC730744, LRP10, LST1, LST1, M6PRBP1, MAPK1, MAPK3, MGC4677, MIDN, MLKL, MS4A6A, MSRB2, MVP, MYD88, NADK, NBEAL2, NCSTN, NFKBIZ, NOLA3, NOTCH1, NRD1, OBFC2A, OSTF1, P2RY13, PACSIN2, PADI4, PARP9, PCNX, PELI1, PELO, PHF21A, PICALM, PLOD1, PPM1M, PPP1R15A, PPP2R5A, PRCP, PRCP, PRKCD, PTEN, PTPN12, PTPRE, PTPRE, PYCARD, RAB24, RAB32, RAB6IP1, RARA, RASSF2, RBMS1, RPS6KA1, RXRA, S100A6, SELL, SFXN4, SIGLEC10, SLA, SLC15A3, SLC15A4, SLC31A2, SLC40A1, SLC9A1, SMAP2, SNX27, STAT3, STAT5B, STX10, SYK, TBC1D14, TBL1X, TCIRG1, TIMP1, TKT, TLN1, TMEM91, TNFRSF1B, TNFSF13B, TOM1, TPD52L2, TPST2, TST, TXN, TXN, USP3, ZFP106, ZFP106, ZFP36, ZMIZ1, ZYX"
M13.2,Gene Transcription,92,"1701731, 1739942, 2319344, 1661886, 1755391, 2370825, 1779214, 1785095, 1752899, 1674160, 1676528, 1798957, 1812191, 1668996, 1737588, 2098616, 1751143, 2067656, 1695025, 1771333, 1736814, 2354478, 2182750, 1756220, 1814859, 1707088, 1671257, 1760201, 1702301, 1798706, 1782543, 1694398, 2192693, 1783695, 1720285, 1794260, 2108938, 1738816, 1686555, 2329429, 1808405, 1793990, 1745172, 1733696, 1699160, 2076600, 1752591, 1764323, 1893633, 1691949, 1697024, 1742789, 1737947, 1678165, 2224143, 1656913, 1764577, 1713143, 1802553, 2073289, 1680618, 1699208, 2121437, 1679134, 1661432, 1700306, 1757343, 1788024, 1770020, 1780898, 1655622, 1741200, 2323774, 2079386, 1723729, 1742238, 1661264, 1769911, 1715179, 2067370, 1678966, 1756501, 1740819, 1785202, 1654609, 1694259, 1777663, 1780397, 1728605, 1793651, 1657632, 2117904, 2307450, 1812478, 1703015","AKR1B1, ALS2CR13, APEX1, APEX1, ARL2BP, ATM, ATM, ATP6V0E2, BCL11A, BIN1, BTN3A2, C12ORF47, C12ORF57, C1QBP, C21ORF33, C5ORF39, C7ORF23, CCND2, CD2, CD47, CLNS1A, CYFIP2, DDX1, DDX18, DDX47, DENND2D, DKC1, DNMT1, DOCK10, EBI2, EEF1D, EIF3F, EIF3M, EPRS, ESD, FBXL10, FNBP4, FOXO1, FYN, GIMAP6, HLA-DQA1, ID2, ILF2, IMP3, ITK, ITM2A, LEPROTL1, LOC124512, LOC439949, LOC728554, LOC730432, LPXN, LSM5, LSM7, MCM3, MDH1, MFNG, MRPL3, MRPS24, MTSS1, MYC, NAP1L1, NCL, NSMCE4A, NUP43, OCIAD2, PABPC4, PCID2, PPIL3, PRKCH, PRKRIR, RFX5, RPAIN, RPL22, RSL1D1, SET, SHMT2, SLC38A1, SNRPA1, SNRPF, SNRPF, ST6GAL1, STARD7, STAT4, TIGA1, TINP1, TOP2B, TRAF3IP3, TTC3, UBE2N, ZMYM6, ZNF22, ZNF302, ZNHIT3, ZRANB2"
M13.3,TBD,100,"2336595, 1667748, 1767816, 1703471, 1790978, 1806999, 1713402, 1771003, 1741881, 1807540, 2392274, 1772233, 1658121, 1745954, 2376455, 1661196, 1804854, 1674038, 2278636, 2233366, 1793743, 1790985, 1711909, 1736048, 1773125, 1744963, 1720158, 1789596, 1651628, 1775498, 1661755, 2362293, 2366334, 1778444, 1697559, 2052208, 1745994, 2364110, 1755123, 1789702, 1773963, 1696003, 1658928, 1764396, 1737964, 2156172, 1723486, 2087646, 1654268, 1787843, 1682717, 2083469, 2044293, 1693233, 1812250, 1668743, 1687998, 2150196, 1772329, 1707156, 1747251, 1765122, 1767320, 2290118, 1807972, 2228180, 1667222, 2344373, 1734833, 1809931, 1723768, 2400922, 2405078, 1741917, 1758529, 1776582, 1660847, 1800659, 1812552, 1707748, 1689968, 1738767, 1781198, 1711493, 2411282, 1678490, 1752526, 1699772, 1767253, 1765493, 2372974, 2307598, 1707077, 1667199, 1724407, 1769876, 1706511, 1667883, 2393169, 1750961, 2220739, 1654516, 1781386, 2052163, 1803564, 1655206","ACSS2, ANKRD33, APH1B, ATF6, ATG7, B9D2, C11ORF56, C14ORF94, C9ORF72, CBARA1, CD82, CENTD2, CFP, CORO1C, CSF2RA, CSF2RA, CTNNA1, CTSD, CUTL1, DDEF1, DIRC2, DJ341D10.1, EDEM2, ELL, ENTPD1, ERO1L, ETS2, ETV6, EXOC6, FAM100B, FAM129B, FBXO38, FERMT3, FKBP5, G6PD, GADD45A, GAS7, GBA, GBA, GBE1, GNA15, GNAI3, GNB2, HDAC4, HIATL1, HK2, HK2, HLX, HMGB2, HSDL2, IER3, IRS2, KBTBD7, KIAA0513, LOC644642, LOC728069, LPGAT1, LRRC25, LRRFIP2, LRRFIP2, LTB4R, MAP3K2, MAPK1, MEGF9, MICAL1, MSRA, MTX1, MVP, NBN, NDRG1, NLRX1, OPRL1, OSBPL8, OSCAR, P2RX1, PDK3, PFKFB3, PGM1, PHCA, PIM3, PLEKHO2, PLP2, PPP1R3D, PRAM1, QSOX1, RILPL2, RNF144B, RRAGD, RRP12, SHKBP1, SIRPA, SLC37A3, SORT1, SQRDL, TACC3, TBC1D2, TEF, THOC5, THOC5, TM6SF1, TMCO3, TMEM120A, WIPI1, YIPF1, YIPF1, ZBTB34"
M13.4,TBD,119,"1695821, 1778173, 1813840, 1669377, 1756862, 1796417, 1782057, 1804798, 1715583, 1685289, 1664920, 1694504, 1815682, 1669831, 1677385, 1777740, 1803317, 1721978, 1686135, 1654690, 1784785, 1654545, 2415235, 1681437, 1705871, 1738866, 2319913, 2319910, 1773885, 2328813, 2112049, 1718132, 1688534, 2277676, 1756162, 1655307, 1652333, 1657475, 1782247, 1694106, 1750658, 2396991, 1826531, 2334296, 1698463, 2156982, 1701244, 1705390, 1757317, 1691539, 2312709, 1754149, 1776327, 1704014, 1788099, 1795464, 1771957, 1735347, 1763228, 1690371, 2316540, 1705464, 2121282, 1660292, 1813389, 1775170, 2355665, 1714438, 1705594, 1786718, 1807211, 1723158, 2320250, 1697962, 2330243, 1748093, 1810922, 1678546, 2372136, 1795285, 1764239, 1684289, 1689445, 1801913, 1733256, 2345015, 1662658, 1735474, 1708328, 1662198, 1733110, 1729980, 1689652, 1687922, 1705908, 1795383, 1671932, 1793712, 1726516, 1803110, 2222880, 1739885, 1682738, 1793203, 1751072, 1769634, 1663954, 1664761, 2299612, 2095660, 1714623, 1683475, 1725079, 1775677, 1785179, 2371700, 1745152, 1694479, 1772719, 1689119, 1753782, 1693242","ACTR1B, AK3, AOF2, AP4B1, APOL3, ASNS, ATP8B2, BEXL1, BOP1, C16ORF58, C19ORF12, C1ORF164, C3ORF37, C6ORF192, C8ORF40, C8ORF55, C9ORF114, CARD11, CCDC45, CECR5, COPS7B, CPSF1, CSNK1E, DCXR, DDHD2, DEXI, DGKA, DGKA, DMAP1, DMAP1, DNLZ, ECHS1, EIF2B5, ERCC1, EXOSC8, FAM136A, FN3KRP, GALT, GCN5L2, GPD1L, HAX1, HCST, HS.213541, IL18BP, ILF3, IMP4, ITFG2, KLHL22, LARS, LAT, LCMT1, LETMD1, LOC727820, LOC730256, LSM4, LTA, MAN1B1, MCEE, MEF2D, MRPL11, MRPL11, MRPL41, MRPS18B, MRPS21, MRPS7, MT1X, MTP18, MUTYH, NAT10, NDUFV1, NICN1, NOL1, NOL6, NSMCE1, NUDT1, PAFAH1B3, PCNT, PEX11B, PH-4, PHF15, PMPCA, PNPO, POLR2H, PPIH, PSMD8, PTGES2, PUS1, R3HCC1, RAB11FIP3, RANGAP1, RASSF7, RNF216, RNMTL1, RP9, RPL7L1, RPUSD3, SAMM50, SCAMP3, SCRIB, SF3B3, SLC25A42, SLC41A3, SMAD3, SMCR7L, SRPRB, STRA13, TH1L, TMEM138, TMEM150, TMEM156, TOMM22, TOMM40, TSPAN31, TYSND1, UBE2G2, UCHL5IP, UQCC, WDR18, XAB1, ZC3H5, ZNF266, ZNF342"
M13.5,TBD,134,"2365711, 1793959, 2396956, 1788462, 1793894, 2108709, 2399622, 1768867, 1728471, 1797341, 1759915, 1783675, 1666933, 1663631, 1743137, 1750144, 1718070, 1667356, 1676891, 1653828, 1659976, 1705442, 1758412, 1751615, 1690122, 1692962, 2385161, 1799725, 1734317, 1717099, 1671809, 1783448, 1761519, 2104696, 2163306, 1679641, 1729217, 2285112, 1754811, 1799744, 1671221, 1673682, 2397721, 1760320, 1773741, 1662719, 1839019, 1667030, 1786920, 1784540, 1672728, 1740351, 1685631, 1733115, 2164081, 1782292, 1766222, 1726108, 1690844, 1658950, 1735955, 1660775, 1790819, 1704795, 1741599, 1718718, 1742578, 2143250, 1686985, 1659240, 2175474, 2177090, 1695797, 1726359, 2102693, 1705783, 1811489, 1722276, 1776464, 1798602, 1720476, 1798164, 1800447, 1815719, 1796339, 1788961, 1733356, 2357577, 1712312, 1781454, 1768117, 1749006, 2119535, 1692199, 2381197, 1793616, 1700044, 1677534, 1797107, 1687533, 2123567, 1769473, 1706075, 2117716, 2175075, 1810782, 1783120, 1741477, 1801383, 1802611, 1739253, 2152581, 1653856, 1777915, 1770084, 1793118, 2044572, 1651735, 1663486, 1784661, 1745368, 1736562, 1682783, 2383693, 1798712, 1656165, 1705310, 1792587, 1780036, 1801928, 1693227, 1730568, 1795228, 2372200","2-Sep, ADPGK, AKAP13, AMD1, ANAPC13, ANKRD11, AP1G1, AP3B1, ARFGEF1, ARID1A, ARPC1A, ASB8, ASH2L, BANP, BAT2D1, C3ORF19, CASP9, CCDC128, CDC2L6, CHFR, CLP1, CMTM3, COPS7A, COQ10B, CRKL, CTDSP2, CUL4B, DOCK2, DPF2, DSCR3, DUSP22, DYNC1LI2, EIF4G2, ERICH1, FAM120A, FAM120B, FAM131A, FBXO11, FBXO38, GALC, GAPVD1, GATAD2A, GLB1, GNB1, GOLGA5, GPBP1L1, HS.5724, HSBP1, JARID1A, KBTBD2, KCTD5, KIAA0174, KIAA0892, KIAA1219, KLHL12, LAMP1, LARP5, LASS2, LOC387820, LOC400890, LOC644033, LOC650152, LOC728556, MARK3, MEMO1, MKKS, MKLN1, MLSTD2, MTM1, MTMR14, MTRF1L, NBPF11, NCOA6, NECAP1, NUFIP2, NXF1, OXSR1, PAFAH1B1, PARP4, PCF11, PHF2, PHF3, PHKB, PLCG2, PLEKHA2, PPP2R2A, PREI3, PRKAA1, RAB11A, RAE1, RBM25, RCSD1, RIPK1, RNF103, RNF19A, RNF38, SAP130, SCAP, SCLT1, SEMA4D, SENP2, SETD2, SF3B1, SFRS17A, SFRS4, SH3KBP1, SLMAP, SMAD4, SMG1, SPEN, STAMBP, STK38, STS-1, STX6, TACC1, TAX1BP1, TBC1D20, TGOLN2, TLK2, TMEM2, TMEM50A, TRIM39, TUG1, UPF2, USP4, USP9X, VEZF1, VPS4B, WDR1, YWHAZ, ZC3H7A, ZDHHC7, ZFAND5, ZNF586"
M13.6,Gene Transcription,127,"2096191, 1697585, 1690352, 2333107, 1815051, 1722066, 1767612, 1801119, 2373831, 1778764, 2386100, 1738955, 1772706, 1746720, 1795836, 1788384, 1789266, 2188333, 1799688, 1689001, 1711023, 1715886, 2337941, 2397880, 1769633, 2176955, 1768176, 2054607, 2056167, 1651433, 1770048, 1791896, 1673023, 2402168, 1670218, 1777745, 1706015, 1793732, 1814573, 1763663, 2082244, 2353033, 2380801, 2344455, 1770206, 2188722, 1721138, 2217329, 1671207, 1675669, 2146372, 1659845, 1795911, 1701512, 1801124, 2339202, 1708151, 1682694, 1686811, 2070355, 2153373, 1703132, 1775522, 1760174, 1785795, 1655635, 1717219, 2410965, 1804988, 2072603, 1664833, 1658486, 2138435, 2189993, 1814230, 1782504, 2380740, 1720442, 1804610, 2324998, 1690049, 1709809, 1748476, 1676986, 1798886, 2061405, 2115154, 1765684, 1758915, 1683044, 1758474, 1692473, 1662964, 1788701, 2127328, 2163796, 2124951, 2222984, 1769637, 1730077, 1769671, 1735360, 1773968, 1778836, 1787248, 1651513, 1674551, 1733932, 1660000, 1738736, 2145997, 2150019, 1652379, 1656399, 2108339, 1736585, 1704024, 2073012, 1748926, 1760245, 2047599, 2391141, 1764549, 1757646, 1801869, 1730907, 1785926, 2197519, 1759008, 1750044","AASDHPPT, ACTR6, ADO, AES, API5, ARMC1, BBS2, BCL2, BTN3A3, BUB3, BUB3, C10ORF104, C10ORF32, C18ORF17, C21ORF57, C9ORF5, CCDC25, CD69, CDC23, CDK4, CDK5RAP1, CNOT7, COPS8, CSTF3, CTSO, CUL5, CXORF26, CYP4V2, DC2, DCK, DPH5, EBAG9, EP400, EXOSC10, EXOSC6, FAM133B, FAM43A, FARS2, FLJ11171, FLJ20718, FOXK1, FUBP3, FYN, G3BP1, GEMIN4, GLS, GRPEL2, IAH1, IARS2, IBTK, KCTD6, KIAA0355, KIAA0372, KIAA0391, KIAA1826, KTN1, LAGE3, LOC203547, LOC402644, LOC644096, LRBA, LYRM2, MAGED1, MCCC1, METAP1, METTL3, MGC12966, MGC3207, MOAP1, MRPL14, MRPL50, MRPL54, MRPS27, MRPS35, MTCP1, MTERFD1, MTO1, NCBP2, NFX1, NGDN, NGDN, NHP2L1, NOP5/NOP58, NPIP, NUDT21, NUP54, NUPL2, P117, PDCD2, PPP1R2, PRKRA, PRMT1, PRMT3, PSIP1, PURA, RABGGTB, RBMX, RDH14, RNMT, RPUSD2, RYK, SDAD1, SERBP1, SFRS7, SIVA, SKIV2L2, SMAD5, SNUPN, SNURF, SNX4, SP4, SUCLA2, SUCLG2, TCEAL8, THUMPD1, TMED10, TMEM160, TMEM203, TMEM209, TMEM42, TMEM50B, UBE3A, UBE3A, UFM1, WDR75, ZFAND1, ZNF621, ZNF627, ZNF689, ZNHIT3"
M13.7,TBD,98,"1801767, 2360705, 1809139, 1709101, 2380494, 2311761, 1731287, 2403906, 1688953, 2405305, 1680579, 2367753, 1700276, 2394193, 1795893, 1751561, 1809695, 1716080, 1720233, 2228732, 1678605, 2088825, 1741176, 1677041, 1686805, 1803302, 1772692, 1755589, 1793770, 1795715, 1734288, 2374293, 1664560, 1784320, 1669555, 1703330, 1685415, 1678922, 2389582, 1765146, 1693310, 2397750, 1717877, 1755727, 1706539, 1679232, 1706687, 2189222, 1703335, 2400500, 2356654, 1795856, 1675956, 1800733, 1741159, 2375002, 1675186, 2048636, 1682232, 1717180, 1687768, 2264625, 2116127, 2094952, 1705907, 2313851, 2313901, 2373177, 1781819, 1780132, 1732985, 1695509, 1802251, 1753819, 2151488, 1700660, 1710906, 1711919, 1713978, 2054233, 1741613, 1700834, 1808148, 1756942, 2263718, 1796738, 1756937, 1656136, 1792518, 1764168, 1803941, 1739967, 1752117, 1717056, 2389155, 1665557, 1704876, 1682180, 2351298, 1727617, 1697153, 1674399, 1777061","ABHD3, ACSL3, AHCTF1, AKAP13, ANXA11, AP3S1, ARFGAP3, ARFIP1, ARHGAP19, ARNTL, ATP2B4, ATP2B4, C14ORF100, C14ORF138, C1ORF119, CAMK1D, CAMK2G, CBL, CCDC49, CCNG2, CDC123, CENTB2, CHMP2B, CHUK, CRK, CRK, DICER1, DIP2B, DNAJB6, DPYD, DUSP18, DYRK1A, DYRK1A, ELMO1, FAM48A, FEM1C, HBP1, HERC4, HNRNPL, IFNAR2, ITFG1, IVNS1ABP, IVNS1ABP, JARID1B, JMJD1B, KIDINS220, KLHL5, KLHL8, LACTB, LASS2, LGALS8, LOC644935, LYST, MANBA, MAP3K8, MAP4K4, ME2, ME2, MIER1, MTMR6, NCOA7, NIPBL, NPEPPS, NUAK2, NUP153, OSBPL9, PAM, PANK2, PAPSS1, PELI2, PHF20L1, PTPN12, PTTG1IP, RFFL, RMI1, RNF135, RNF145, SCYL2, SDF2, SENP6, SERINC1, SLK, SMCHD1, SP3, SPAG9, SPAST, ST8SIA4, STAU1, STX7, STXBP3, TBC1D15, TBK1, TMEM55A, TXNRD1, UGP2, USP15, USP38, VCPIP1, WIPF1, XRN2, ZDHHC17, ZNF143, ZSWIM6"
M13.8,TBD,55,"1671854, 1661342, 1801303, 1687351, 1788468, 2161357, 1681118, 1677239, 1709227, 1728180, 1719290, 1724341, 2206272, 1763605, 1803676, 2249920, 1723124, 2103547, 2347193, 1666206, 1720857, 1653432, 1852793, 1882495, 1664912, 1701247, 1666746, 2098947, 1682288, 1768311, 1807136, 1749838, 1721621, 2330994, 1751958, 1688070, 1697639, 2364828, 2262444, 1697629, 2061565, 1736021, 1738239, 1711270, 1761996, 1655195, 1682038, 1730773, 1791375, 1671839, 1778668, 1677532, 1789196, 1745573, 2390472, 1696757, 1737611, 1745852, 2190414","AMY2A, ANKRA2, ARGLU1, C6ORF111, CAPRIN2, CCDC14, CCDC84, CROP, CRYZL1, CXORF45, D2HGDH, DIDO1, ENOSF1, FYN, GALK2, GOLGA8B, GSDML, GSDML, GUSBL1, HNRPDL, HS.143408, HS.409512, IL11RA, LOC132241, LOC153561, LOC338799, LOC728565, LOC728888, LOC729559, MZF1, NKTR, NKTR, NSUN5, NSUN5C, OGT, OGT, PDE7A, PLA2G4B, PLCH2, PRPF4B, RBM6, SEPT1, SEPT6, SFRS14, SFRS5, SMA4, SNORA25, SNORA70, STAG3L2, TAF1C, TAGLN, TARDBP, TPM2, TTC13, TTC14, TTC14, VAMP1, WDR33, ZNF83"
M13.9,Gene Transcription,99,"1657139, 2080751, 1741572, 1771411, 1750256, 1765091, 1711828, 1754531, 2317348, 1688526, 1725707, 2365881, 2389810, 1687375, 1814808, 2365549, 1791656, 1710207, 1795128, 1777129, 2225577, 1736568, 1813400, 2101375, 2356068, 1716766, 1703754, 1752631, 1744138, 2136177, 1808779, 1786015, 1727001, 1762426, 1687279, 2168449, 1744308, 1720083, 1665717, 1682658, 1655261, 1660840, 1680644, 1721704, 1651819, 1736757, 2321451, 1893511, 1856480, 1866887, 1838313, 1797318, 1762990, 2376133, 1788347, 1686562, 1811261, 1725528, 1743711, 2123119, 1652521, 1718932, 1780937, 1770035, 2393046, 2052790, 1713505, 1718629, 1693259, 1655126, 1705985, 1796497, 2223380, 1707240, 1758214, 1743104, 1669310, 1708660, 1663577, 2290618, 1690690, 2373266, 1696407, 1665538, 1658639, 1768271, 2286334, 1725183, 1738750, 1808634, 1737146, 2047206, 1704342, 1686645, 2383516, 1735275, 1806809, 1792305, 1706734, 1682449","ADAT1, ADNP2, AKAP8, ALG6, ALS2, ANKHD1, ANKRD10, AP4E1, APTX, ARL5A, ATG16L1, ATG16L1, ATP11C, ATP2A2, BFAR, BRPF1, C10ORF137, C10ORF6, C13ORF23, C16ORF56, C5ORF37, CASP2, CBR4, CCDC77, CDC2L5, CEBPG, CEP192, CGGBP1, CHCHD7, CNOT6, CSTF3, CTCF, DDX46, DHFRL1, DHPS, DHX15, DHX33, EHD4, EIF2S3, EPM2AIP1, ERP27, FAM152A, FLJ20323, FNTA, GALNT11, GNPTAB, HNRNPD, HS.126768, HS.19339, HS.294103, HS.538259, HSPA14, KIAA0141, KIAA1191, KIAA1737, KIF13B, KRIT1, LOC400657, LOC650215, MFSD8, MTMR9, MTRR, MUS81, NCOA5, NHLRC3, NONO, NPC1, NRIP1, PDCD6IP, PI4KAP2, PIGA, PIP3-E, PPWD1, PTBP2, RARS2, RBM4B, RHOT2, RWDD4A, S100PBP, SEC22C, SEC23IP, SFRS12, SFRS2, SKP2, SLC46A3, SMAP1, SR140, TBCE, TFCP2, TMEM77, TRAM1, TXNDC10, UBE3C, UTP14C, WDR7, WDSUB1, ZNF189, ZNF318, ZNF451, ZNF518B"
M14.1,TBD,44,"2225595, 2352009, 1673529, 1794470, 2320513, 1772370, 2173740, 1785635, 2349600, 1725594, 2186858, 1778917, 1682226, 1658885, 1704091, 1661554, 1731001, 1721833, 1758811, 1769433, 1675472, 1779034, 2265995, 2151368, 1725612, 1733311, 1786601, 2386982, 1763763, 1707585, 2361570, 2064694, 2402363, 2336130, 2064606, 1683811, 1667893, 1729495, 2083588, 1675674, 2324672, 1756696, 1739454, 1657470, 1688698","ACAD8, ACADVL, AGXT2L2, ANKFY1, APBB3, ARHGEF1, ASB8, BRD3, BRD8, C10ORF97, C14ORF131, CDK7, CLDN15, DAGLB, DGAT1, DIAPH1, ERICH1, IER5, IMPA1, IQGAP2, LOC644799, NADSYN1, NBPF3, NOL12, NUP50, PIGB, PLAGL2, PRKCZ, RIPK3, SLC46A2, SNX14, STIM1, STK19, SULT1A4, TBC1D2B, TNPO3, TNS3, TRIM41, TTC32, UBE4B, USF2, USF2, USP34, YTHDF3, ZEB2"
M14.2,TBD,44,"2371825, 1809027, 1721741, 2082810, 1693410, 1666208, 1790650, 1805474, 1724376, 1766408, 1748707, 2380698, 1713380, 1713178, 1747223, 1778611, 1746457, 1725244, 1782579, 2237746, 1683927, 1690099, 1678671, 2395856, 1680703, 1698001, 1670638, 1774836, 1697440, 2311548, 1781906, 1670456, 1734198, 2069945, 1739083, 1773620, 2192032, 1805646, 1666050, 1683700, 1792138, 2115696, 1730658, 2046003","AGL, ATP5SL, ATPBD1B, BRD7, BRI3BP, C14ORF106, C16ORF63, C1ORF131, C2ORF30, CBFB, CRELD2, DSTN, EIF2B2, FAM116A, FRYL, GBAS, GTF3C2, HAT1, IMMT, ING3, ITGAE, ITGB1BP1, KLHL24, LOC219854, MRPS15, NCK1, PITPNC1, PLOD3, PRPF4, PTRH2, RBM17, RBM42, RNGTT, RY1, SIRT1, SMARCC2, SRP19, SS18, TMUB1, TNFSF12, UQCRH, USP42, YTHDF2, ZDHHC6"
M14.3,TBD,39,"2311278, 1754179, 1745415, 1779279, 1748770, 1742432, 1666192, 1679405, 1801845, 1738819, 2405233, 1704571, 1733511, 1772455, 1903568, 2392717, 1716056, 2342240, 1810838, 1768754, 1778236, 1808568, 1719622, 1751378, 1734205, 1666739, 1705679, 2051232, 1728845, 2367782, 1781516, 2368068, 1782331, 1660368, 1738369, 1696975, 1795428, 1799815, 1814113","ADD3, AP1G2, BBX, C14ORF32, CKAP5, COBRA1, DCTN5, DDX56, DNAL4, EFTUD2, FAM133B, FAM53B, GOLGA3, HDAC3, HS.294603, LARP7, LMF2, MGAT2, MTDH, PILRB, PTPN11, PYCR2, RABEP1, RARS, RASSF1, RBM15, SAFB2, SDHA, SMARCD1, STARD7, SUPT16H, TCF20, TDG, TRRAP, TUFM, USP1, WDR59, XYLT2, ZFR"
